"","output","p_value_tail","p_value_extreme","CTC","baseline"
"1","Evidence of causality",0,0,0.830174291938998,0.255206531141869
"2","Evidence of causality",0,0,0.849564270152505,0.257760837178008
"3","No causality",0.08,0.3,0.490735294117647,0.277379193098808
"4","Evidence of causality",0,0.16,0.659694989106754,0.264186550845829
"5","Evidence of causality",0,0,0.726742919389978,0.255992286620531
"6","No causality",0,0.16,0.572004357298475,0.257141183679354
"7","Evidence of causality",0,0.02,0.681481481481481,0.251351716436728
"8","Evidence of causality",0,0,0.741993464052288,0.251649305555556
"9","Evidence of causality",0,0.04,0.679,0.273428333333333
"10","Evidence of causality",0,0.02,0.782570806100218,0.261411776720492
"11","Evidence of causality",0,0.12,0.655283224400872,0.256046051999231
"12","No causality",0.04,0.24,0.580065359477124,0.252152417339485
"13","Evidence of causality",0,0.02,0.676960784313726,0.24800407295271
"14","No causality",0.02,0.18,0.60822440087146,0.257422926278355
"15","Evidence of causality",0.02,0.02,0.857352941176471,0.26226841839677
"16","Evidence of causality",0,0.14,0.652614379084967,0.266174368031526
"17","Evidence of causality",0,0,0.830882352941177,0.25557327710496
"18","Evidence of causality",0,0,0.879411764705882,0.275535551230296
"19","Evidence of causality",0,0,0.795697167755991,0.266412557670127
"20","Evidence of causality",0.04,0.1,0.654901960784314,0.251817822919284
"21","Evidence of causality",0,0,0.745642701525055,0.254661668589004
"22","Evidence of causality",0,0.02,0.69375,0.262416111111111
"23","Evidence of causality",0,0.02,0.720642701525054,0.252627294790465
"24","Evidence of causality",0,0,0.762145969498911,0.254937682360146
"25","No causality",0.06,0.36,0.484967320261438,0.275479082564398
"26","Evidence of causality",0,0,0.749455337690632,0.255617731161092
"27","Evidence of causality",0,0.08,0.657,0.256192777777778
"28","Evidence of causality",0,0,0.818736383442266,0.254859008554402
"29","Evidence of causality",0,0.1,0.675653594771242,0.251861363417916
"30","Evidence of causality",0,0.04,0.749945533769063,0.250452650422914
"31","No causality",0,0.08,0.604144385026738,0.261835291714725
"32","Evidence of causality",0,0.02,0.642592592592593,0.249888864859669
"33","Evidence of causality",0,0.02,0.799019607843137,0.255269007112649
"34","Evidence of causality",0,0,0.862745098039216,0.258476307189543
"35","Evidence of causality",0,0,0.795588235294118,0.264957888792772
"36","Evidence of causality",0,0,0.772821350762527,0.266184580449827
"37","No causality",0,0.1,0.606699346405229,0.253867502883506
"38","Evidence of causality",0,0,0.774128540305011,0.264859068627451
"39","Evidence of causality",0,0,0.844281045751634,0.26490622597078
"40","Evidence of causality",0.02,0.04,0.716884531590414,0.253075439734717
"41","No causality",0.02,0.16,0.47723311546841,0.247636125528643
"42","Evidence of causality",0,0,0.781971677559913,0.26453737745098
"43","No causality",0,0.2,0.56181917211329,0.276219182525952
"44","Evidence of causality",0,0.04,0.632679738562091,0.262956855536332
"45","Evidence of causality",0,0.08,0.741884531590414,0.252736027008843
"46","Evidence of causality",0,0,0.800272331154684,0.259708705786236
"47","Evidence of causality",0.02,0.02,0.872276688453159,0.260513083910035
"48","Evidence of causality",0,0.16,0.632625272331155,0.247215614186851
"49","Evidence of causality",0,0.06,0.687527233115468,0.246960003364091
"50","Evidence of causality",0.02,0.06,0.774128540305011,0.260057429834679
"51","Evidence of causality",0,0.1,0.670980392156863,0.246979226739716
"52","Evidence of causality",0,0,0.779084967320261,0.260298022395233
"53","No causality",0.1,0.34,0.619063180827887,0.278225321991542
"54","Evidence of causality",0,0,0.86171568627451,0.255681408592849
"55","Evidence of causality",0,0.06,0.714161220043573,0.259606281237985
"56","Evidence of causality",0,0,0.804754901960784,0.262022118896578
"57","Evidence of causality",0,0,0.763507625272331,0.257865063917724
"58","Evidence of causality",0.02,0.2,0.647712418300654,0.254703419357939
"59","Evidence of causality",0.02,0.06,0.71781045751634,0.261531322087659
"60","Evidence of causality",0,0.02,0.709019607843137,0.271115075932334
"61","Evidence of causality",0,0,0.830228758169935,0.251448661572472
"62","Evidence of causality",0,0,0.846241830065359,0.25083861976163
"63","Evidence of causality",0,0,0.75343137254902,0.249867538927336
"64","Evidence of causality",0,0,0.737037037037037,0.250626862264514
"65","Evidence of causality",0,0.06,0.750925925925926,0.251901311995386
"66","Evidence of causality",0,0,0.875196078431373,0.253426266339869
"67","Evidence of causality",0,0,0.627342047930283,0.246236723856209
"68","Evidence of causality",0.02,0.04,0.632298474945534,0.246422049211842
