"","output","p_value_tail","p_value_extreme","CTC","baseline"
"1","No causality",0.5,0.94,0.706644880174292,0.674013607891137
"2","No causality",1,1,0.653649237472767,0.674013607891137
"3","No causality",1,1,0.637745098039216,0.674013607891137
"4","No causality",0.2,0.92,0.727015250544662,0.674013607891137
"5","No causality",0.46,1,0.681644880174292,0.674013607891137
"6","No causality",1,1,0.667265795206972,0.674013607891137
"7","No causality",1,1,0.64863834422658,0.674013607891137
"8","No causality",1,1,0.652668845315904,0.674013607891137
"9","No causality",1,1,0.626916666666667,0.675741111111111
"10","No causality",1,1,0.649346405228758,0.674013607891137
"11","No causality",1,1,0.66917211328976,0.674013607891137
"12","No causality",1,1,0.625653594771242,0.674013607891137
"13","No causality",1,1,0.64744008714597,0.674013607891137
"14","No causality",0.46,0.96,0.67859477124183,0.674013607891137
"15","No causality",1,1,0.664869281045752,0.674013607891137
"16","No causality",1,1,0.615686274509804,0.674013607891137
"17","No causality",1,1,0.664814814814815,0.674013607891137
"18","No causality",1,1,0.625108932461874,0.674013607891137
"19","No causality",1,1,0.659803921568627,0.674013607891137
"20","No causality",0.34,0.94,0.712799564270153,0.674013607891137
"21","No causality",1,1,0.672222222222222,0.674013607891137
"22","No causality",1,1,0.661,0.675741111111111
"23","No causality",0.48,0.96,0.693518518518519,0.674013607891137
"24","No causality",1,1,0.659694989106754,0.674013607891137
"25","No causality",1,1,0.651089324618736,0.674013607891137
"26","No causality",1,1,0.664814814814815,0.674013607891137
"27","No causality",0.36,0.82,0.7275,0.675741111111111
"28","No causality",0.42,0.88,0.690958605664488,0.674013607891137
"29","No causality",1,1,0.625108932461874,0.674013607891137
"30","No causality",0.46,0.92,0.678213507625272,0.674013607891137
"31","No causality",0.56,1,0.676688453159041,0.674013607891137
"32","No causality",1,1,0.656862745098039,0.674013607891137
"33","No causality",1,1,0.627015250544662,0.674013607891137
"34","No causality",1,1,0.661056644880174,0.674013607891137
"35","No causality",1,1,0.657298474945534,0.674013607891137
"36","No causality",0.56,0.96,0.686056644880174,0.674013607891137
"37","No causality",0.1,0.82,0.73578431372549,0.674013607891137
"38","No causality",1,1,0.657298474945534,0.674013607891137
"39","No causality",1,1,0.664869281045752,0.674013607891137
"40","No causality",1,1,0.631154684095861,0.674013607891137
"41","No causality",0.14,0.86,0.733605664488017,0.674013607891137
"42","No causality",1,1,0.669226579520697,0.674013607891137
"43","No causality",1,1,0.673148148148148,0.674013607891137
"44","No causality",1,1,0.651089324618736,0.674013607891137
"45","No causality",0.36,0.92,0.714542483660131,0.674013607891137
"46","No causality",1,1,0.615686274509804,0.674013607891137
"47","No causality",1,1,0.635076252723312,0.674013607891137
"48","No causality",0.1,0.56,0.692483660130719,0.674013607891137
"49","No causality",0.1,0.76,0.72140522875817,0.674013607891137
"50","No causality",1,1,0.615686274509804,0.674013607891137
"51","No causality",0.36,0.96,0.676797385620915,0.674013607891137
"52","No causality",0.22,0.86,0.696132897603486,0.674013607891137
"53","No causality",0.34,0.94,0.692156862745098,0.674013607891137
"54","No causality",0.36,0.92,0.674019607843137,0.674013607891137
"55","No causality",1,1,0.637745098039216,0.674013607891137
"56","No causality",1,1,0.631372549019608,0.674013607891137
"57","No causality",1,1,0.673692810457516,0.674013607891137
"58","No causality",1,1,0.637418300653595,0.674013607891137
"59","No causality",1,1,0.632461873638344,0.674013607891137
"60","No causality",1,1,0.615686274509804,0.674013607891137
"61","No causality",1,1,0.648311546840959,0.674013607891137
"62","No causality",1,1,0.648311546840959,0.674013607891137
"63","No causality",0.22,0.84,0.750272331154684,0.674013607891137
"64","No causality",0.42,0.96,0.68099128540305,0.674013607891137
"65","No causality",1,1,0.66661220043573,0.674013607891137
"66","No causality",1,1,0.667538126361656,0.674013607891137
"67","No causality",0.42,0.9,0.713562091503268,0.674013607891137
"68","No causality",0.36,0.94,0.713562091503268,0.674013607891137
