"method","structure","heavy_tailed","n","p","replication","distance"
"ExtremeCausal","VAR",TRUE,500,2,1,0
"ExtremeCausal","VAR",TRUE,500,2,2,0
"ExtremeCausal","VAR",TRUE,500,2,3,0
"ExtremeCausal","VAR",TRUE,500,2,4,0
"ExtremeCausal","VAR",TRUE,500,2,5,0
"ExtremeCausal","VAR",TRUE,500,2,6,0
"ExtremeCausal","VAR",TRUE,500,2,7,0
"ExtremeCausal","VAR",TRUE,500,2,8,0
"ExtremeCausal","VAR",TRUE,500,2,9,0
"ExtremeCausal","VAR",TRUE,500,2,10,0
"ExtremeCausal","VAR",TRUE,500,2,11,0
"ExtremeCausal","VAR",TRUE,500,2,12,0
"ExtremeCausal","VAR",TRUE,500,2,13,0
"ExtremeCausal","VAR",TRUE,500,2,14,0
"ExtremeCausal","VAR",TRUE,500,2,15,0
"ExtremeCausal","VAR",TRUE,500,2,16,0
"ExtremeCausal","VAR",TRUE,500,2,17,0
"ExtremeCausal","VAR",TRUE,500,2,18,0
"ExtremeCausal","VAR",TRUE,500,2,19,0
"ExtremeCausal","VAR",TRUE,500,2,20,0
"ExtremeCausal","VAR",TRUE,500,2,21,0
"ExtremeCausal","VAR",TRUE,500,2,22,0
"ExtremeCausal","VAR",TRUE,500,2,23,0
"ExtremeCausal","VAR",TRUE,500,2,24,0
"ExtremeCausal","VAR",TRUE,500,2,25,0
"ExtremeCausal","VAR",TRUE,500,2,26,0
"ExtremeCausal","VAR",TRUE,500,2,27,0
"ExtremeCausal","VAR",TRUE,500,2,28,0
"ExtremeCausal","VAR",TRUE,500,2,29,0
"ExtremeCausal","VAR",TRUE,500,2,30,0
"ExtremeCausal","VAR",TRUE,500,2,31,0
"ExtremeCausal","VAR",TRUE,500,2,32,0
"ExtremeCausal","VAR",TRUE,500,2,33,0
"ExtremeCausal","VAR",TRUE,500,2,34,0
"ExtremeCausal","VAR",TRUE,500,2,35,0
"ExtremeCausal","VAR",TRUE,500,2,36,0
"ExtremeCausal","VAR",TRUE,500,2,37,0
"ExtremeCausal","VAR",TRUE,500,2,38,0
"ExtremeCausal","VAR",TRUE,500,2,39,0
"ExtremeCausal","VAR",TRUE,500,2,40,0
"ExtremeCausal","VAR",TRUE,500,2,41,0
"ExtremeCausal","VAR",TRUE,500,2,42,0
"ExtremeCausal","VAR",TRUE,500,2,43,0
"ExtremeCausal","VAR",TRUE,500,2,44,0
"ExtremeCausal","VAR",TRUE,500,2,45,0
"ExtremeCausal","VAR",TRUE,500,2,46,0
"ExtremeCausal","VAR",TRUE,500,2,47,0
"ExtremeCausal","VAR",TRUE,500,2,48,0
"ExtremeCausal","VAR",TRUE,500,2,49,0
"ExtremeCausal","VAR",TRUE,500,2,50,0
"ExtremeCausal","VAR",TRUE,500,2,51,0
"ExtremeCausal","VAR",TRUE,500,2,52,0
"ExtremeCausal","VAR",TRUE,500,2,53,0
"ExtremeCausal","VAR",TRUE,500,2,54,0
"ExtremeCausal","VAR",TRUE,500,2,55,0
"ExtremeCausal","VAR",TRUE,500,2,56,0
"ExtremeCausal","VAR",TRUE,500,2,57,0
"ExtremeCausal","VAR",TRUE,500,2,58,0
"ExtremeCausal","VAR",TRUE,500,2,59,0
"ExtremeCausal","VAR",TRUE,500,2,60,0
"ExtremeCausal","VAR",TRUE,500,2,61,0
"ExtremeCausal","VAR",TRUE,500,2,62,0
"ExtremeCausal","VAR",TRUE,500,2,63,0
"ExtremeCausal","VAR",TRUE,500,2,64,0
"ExtremeCausal","VAR",TRUE,500,2,65,0
"ExtremeCausal","VAR",TRUE,500,2,66,0
"ExtremeCausal","VAR",TRUE,500,2,67,0
"ExtremeCausal","VAR",TRUE,500,2,68,0
"ExtremeCausal","VAR",TRUE,500,2,69,0
"ExtremeCausal","VAR",TRUE,500,2,70,0
"ExtremeCausal","VAR",TRUE,500,2,71,0
"ExtremeCausal","VAR",TRUE,500,2,72,0
"ExtremeCausal","VAR",TRUE,500,2,73,1
"ExtremeCausal","VAR",TRUE,500,2,74,0
"ExtremeCausal","VAR",TRUE,500,2,75,0
"ExtremeCausal","VAR",TRUE,500,2,76,0
"ExtremeCausal","VAR",TRUE,500,2,77,0
"ExtremeCausal","VAR",TRUE,500,2,78,0
"ExtremeCausal","VAR",TRUE,500,2,79,0
"ExtremeCausal","VAR",TRUE,500,2,80,0
"ExtremeCausal","VAR",TRUE,500,2,81,0
"ExtremeCausal","VAR",TRUE,500,2,82,0
"ExtremeCausal","VAR",TRUE,500,2,83,0
"ExtremeCausal","VAR",TRUE,500,2,84,0
"ExtremeCausal","VAR",TRUE,500,2,85,0
"ExtremeCausal","VAR",TRUE,500,2,86,0
"ExtremeCausal","VAR",TRUE,500,2,87,0
"ExtremeCausal","VAR",TRUE,500,2,88,0
"ExtremeCausal","VAR",TRUE,500,2,89,0
"ExtremeCausal","VAR",TRUE,500,2,90,0
"ExtremeCausal","VAR",TRUE,500,2,91,0
"ExtremeCausal","VAR",TRUE,500,2,92,0
"ExtremeCausal","VAR",TRUE,500,2,93,0
"ExtremeCausal","VAR",TRUE,500,2,94,0
"ExtremeCausal","VAR",TRUE,500,2,95,0
