method,structure,heavy_tailed,n,p,replication,distance
PCMCI_Cor,GARCH,True,500,2,1,1
PCMCI_Cor,GARCH,True,500,2,2,0
PCMCI_Cor,GARCH,True,500,2,3,0
PCMCI_Cor,GARCH,True,500,2,4,0
PCMCI_Cor,GARCH,True,500,2,5,2
PCMCI_Cor,GARCH,True,500,2,6,0
PCMCI_Cor,GARCH,True,500,2,7,0
PCMCI_Cor,GARCH,True,500,2,8,1
PCMCI_Cor,GARCH,True,500,2,9,0
PCMCI_Cor,GARCH,True,500,2,10,2
PCMCI_Cor,GARCH,True,500,2,11,0
PCMCI_Cor,GARCH,True,500,2,12,1
PCMCI_Cor,GARCH,True,500,2,13,0
PCMCI_Cor,GARCH,True,500,2,14,0
PCMCI_Cor,GARCH,True,500,2,15,0
PCMCI_Cor,GARCH,True,500,2,16,2
PCMCI_Cor,GARCH,True,500,2,17,0
PCMCI_Cor,GARCH,True,500,2,18,0
PCMCI_Cor,GARCH,True,500,2,19,1
PCMCI_Cor,GARCH,True,500,2,20,0
PCMCI_Cor,GARCH,True,500,2,21,2
PCMCI_Cor,GARCH,True,500,2,22,1
PCMCI_Cor,GARCH,True,500,2,23,1
PCMCI_Cor,GARCH,True,500,2,24,1
PCMCI_Cor,GARCH,True,500,2,25,1
PCMCI_Cor,GARCH,True,500,2,26,1
PCMCI_Cor,GARCH,True,500,2,27,1
PCMCI_Cor,GARCH,True,500,2,28,1
PCMCI_Cor,GARCH,True,500,2,29,1
PCMCI_Cor,GARCH,True,500,2,30,1
PCMCI_Cor,GARCH,True,500,2,31,0
PCMCI_Cor,GARCH,True,500,2,32,0
PCMCI_Cor,GARCH,True,500,2,33,0
PCMCI_Cor,GARCH,True,500,2,34,0
PCMCI_Cor,GARCH,True,500,2,35,0
PCMCI_Cor,GARCH,True,500,2,36,2
PCMCI_Cor,GARCH,True,500,2,37,1
PCMCI_Cor,GARCH,True,500,2,38,1
PCMCI_Cor,GARCH,True,500,2,39,0
PCMCI_Cor,GARCH,True,500,2,40,0
PCMCI_Cor,GARCH,True,500,2,41,1
PCMCI_Cor,GARCH,True,500,2,42,1
PCMCI_Cor,GARCH,True,500,2,43,1
PCMCI_Cor,GARCH,True,500,2,44,0
PCMCI_Cor,GARCH,True,500,2,45,2
PCMCI_Cor,GARCH,True,500,2,46,1
PCMCI_Cor,GARCH,True,500,2,47,1
PCMCI_Cor,GARCH,True,500,2,48,1
PCMCI_Cor,GARCH,True,500,2,49,1
PCMCI_Cor,GARCH,True,500,2,50,1
PCMCI_Cor,GARCH,True,500,2,51,1
PCMCI_Cor,GARCH,True,500,2,52,1
PCMCI_Cor,GARCH,True,500,2,53,0
PCMCI_Cor,GARCH,True,500,2,54,2
PCMCI_Cor,GARCH,True,500,2,55,1
PCMCI_Cor,GARCH,True,500,2,56,2
PCMCI_Cor,GARCH,True,500,2,57,0
PCMCI_Cor,GARCH,True,500,2,58,1
PCMCI_Cor,GARCH,True,500,2,59,0
PCMCI_Cor,GARCH,True,500,2,60,1
PCMCI_Cor,GARCH,True,500,2,61,1
PCMCI_Cor,GARCH,True,500,2,62,1
PCMCI_Cor,GARCH,True,500,2,63,2
PCMCI_Cor,GARCH,True,500,2,64,1
PCMCI_Cor,GARCH,True,500,2,65,0
PCMCI_Cor,GARCH,True,500,2,66,0
PCMCI_Cor,GARCH,True,500,2,67,1
PCMCI_Cor,GARCH,True,500,2,68,0
PCMCI_Cor,GARCH,True,500,2,69,0
PCMCI_Cor,GARCH,True,500,2,70,0
PCMCI_Cor,GARCH,True,500,2,71,2
PCMCI_Cor,GARCH,True,500,2,72,1
PCMCI_Cor,GARCH,True,500,2,73,1
PCMCI_Cor,GARCH,True,500,2,74,2
PCMCI_Cor,GARCH,True,500,2,75,0
PCMCI_Cor,GARCH,True,500,2,76,0
PCMCI_Cor,GARCH,True,500,2,77,1
PCMCI_Cor,GARCH,True,500,2,78,1
PCMCI_Cor,GARCH,True,500,2,79,0
PCMCI_Cor,GARCH,True,500,2,80,1
PCMCI_Cor,GARCH,True,500,2,81,2
PCMCI_Cor,GARCH,True,500,2,82,1
PCMCI_Cor,GARCH,True,500,2,83,1
PCMCI_Cor,GARCH,True,500,2,84,1
PCMCI_Cor,GARCH,True,500,2,85,0
