method,structure,heavy_tailed,n,p,replication,distance
PCMCI_Cor,GARCH,False,500,2,1,1
PCMCI_Cor,GARCH,False,500,2,2,0
PCMCI_Cor,GARCH,False,500,2,3,2
PCMCI_Cor,GARCH,False,500,2,4,2
PCMCI_Cor,GARCH,False,500,2,5,1
PCMCI_Cor,GARCH,False,500,2,6,0
PCMCI_Cor,GARCH,False,500,2,7,0
PCMCI_Cor,GARCH,False,500,2,8,0
PCMCI_Cor,GARCH,False,500,2,9,1
PCMCI_Cor,GARCH,False,500,2,10,0
PCMCI_Cor,GARCH,False,500,2,11,2
PCMCI_Cor,GARCH,False,500,2,12,2
PCMCI_Cor,GARCH,False,500,2,13,0
PCMCI_Cor,GARCH,False,500,2,14,1
PCMCI_Cor,GARCH,False,500,2,15,1
PCMCI_Cor,GARCH,False,500,2,16,1
PCMCI_Cor,GARCH,False,500,2,17,1
PCMCI_Cor,GARCH,False,500,2,18,1
PCMCI_Cor,GARCH,False,500,2,19,2
PCMCI_Cor,GARCH,False,500,2,20,1
PCMCI_Cor,GARCH,False,500,2,21,1
PCMCI_Cor,GARCH,False,500,2,22,1
PCMCI_Cor,GARCH,False,500,2,23,0
PCMCI_Cor,GARCH,False,500,2,24,0
PCMCI_Cor,GARCH,False,500,2,25,1
PCMCI_Cor,GARCH,False,500,2,26,1
PCMCI_Cor,GARCH,False,500,2,27,2
PCMCI_Cor,GARCH,False,500,2,28,0
PCMCI_Cor,GARCH,False,500,2,29,1
PCMCI_Cor,GARCH,False,500,2,30,1
PCMCI_Cor,GARCH,False,500,2,31,0
PCMCI_Cor,GARCH,False,500,2,32,1
PCMCI_Cor,GARCH,False,500,2,33,1
PCMCI_Cor,GARCH,False,500,2,34,2
PCMCI_Cor,GARCH,False,500,2,35,1
PCMCI_Cor,GARCH,False,500,2,36,1
PCMCI_Cor,GARCH,False,500,2,37,0
PCMCI_Cor,GARCH,False,500,2,38,1
PCMCI_Cor,GARCH,False,500,2,39,0
PCMCI_Cor,GARCH,False,500,2,40,0
PCMCI_Cor,GARCH,False,500,2,41,1
PCMCI_Cor,GARCH,False,500,2,42,0
PCMCI_Cor,GARCH,False,500,2,43,1
PCMCI_Cor,GARCH,False,500,2,44,0
PCMCI_Cor,GARCH,False,500,2,45,2
PCMCI_Cor,GARCH,False,500,2,46,0
PCMCI_Cor,GARCH,False,500,2,47,1
PCMCI_Cor,GARCH,False,500,2,48,0
PCMCI_Cor,GARCH,False,500,2,49,0
PCMCI_Cor,GARCH,False,500,2,50,0
PCMCI_Cor,GARCH,False,500,2,51,1
PCMCI_Cor,GARCH,False,500,2,52,2
PCMCI_Cor,GARCH,False,500,2,53,2
PCMCI_Cor,GARCH,False,500,2,54,0
PCMCI_Cor,GARCH,False,500,2,55,0
PCMCI_Cor,GARCH,False,500,2,56,1
PCMCI_Cor,GARCH,False,500,2,57,2
PCMCI_Cor,GARCH,False,500,2,58,1
PCMCI_Cor,GARCH,False,500,2,59,1
PCMCI_Cor,GARCH,False,500,2,60,2
PCMCI_Cor,GARCH,False,500,2,61,2
PCMCI_Cor,GARCH,False,500,2,62,0
PCMCI_Cor,GARCH,False,500,2,63,1
PCMCI_Cor,GARCH,False,500,2,64,1
PCMCI_Cor,GARCH,False,500,2,65,1
PCMCI_Cor,GARCH,False,500,2,66,1
PCMCI_Cor,GARCH,False,500,2,67,1
PCMCI_Cor,GARCH,False,500,2,68,0
PCMCI_Cor,GARCH,False,500,2,69,0
PCMCI_Cor,GARCH,False,500,2,70,1
PCMCI_Cor,GARCH,False,500,2,71,2
PCMCI_Cor,GARCH,False,500,2,72,2
PCMCI_Cor,GARCH,False,500,2,73,1
PCMCI_Cor,GARCH,False,500,2,74,1
PCMCI_Cor,GARCH,False,500,2,75,0
PCMCI_Cor,GARCH,False,500,2,76,1
PCMCI_Cor,GARCH,False,500,2,77,1
PCMCI_Cor,GARCH,False,500,2,78,1
PCMCI_Cor,GARCH,False,500,2,79,1
PCMCI_Cor,GARCH,False,500,2,80,1
PCMCI_Cor,GARCH,False,500,2,81,1
PCMCI_Cor,GARCH,False,500,2,82,0
PCMCI_Cor,GARCH,False,500,2,83,1
PCMCI_Cor,GARCH,False,500,2,84,1
PCMCI_Cor,GARCH,False,500,2,85,2
PCMCI_Cor,GARCH,False,500,2,86,1
PCMCI_Cor,GARCH,False,500,2,87,0
PCMCI_Cor,GARCH,False,500,2,88,1
PCMCI_Cor,GARCH,False,500,2,89,1
PCMCI_Cor,GARCH,False,500,2,90,0
PCMCI_Cor,GARCH,False,500,2,91,1
PCMCI_Cor,GARCH,False,500,2,92,1
PCMCI_Cor,GARCH,False,500,2,93,2
PCMCI_Cor,GARCH,False,500,2,94,2
PCMCI_Cor,GARCH,False,500,2,95,2
PCMCI_Cor,GARCH,False,500,2,96,1
PCMCI_Cor,GARCH,False,500,2,97,0
PCMCI_Cor,GARCH,False,500,2,98,2
PCMCI_Cor,GARCH,False,500,2,99,1
PCMCI_Cor,GARCH,False,500,2,100,2
PCMCI_Cor,GARCH,False,500,4,1,2
PCMCI_Cor,GARCH,False,500,4,2,7
PCMCI_Cor,GARCH,False,500,4,3,5
PCMCI_Cor,GARCH,False,500,4,4,0
PCMCI_Cor,GARCH,False,500,4,5,4
PCMCI_Cor,GARCH,False,500,4,6,1
