method,structure,heavy_tailed,n,p,replication,distance
PCMCI_Cor,VAR,False,500,2,1,0
PCMCI_Cor,VAR,False,500,2,2,0
PCMCI_Cor,VAR,False,500,2,3,1
PCMCI_Cor,VAR,False,500,2,4,2
PCMCI_Cor,VAR,False,500,2,5,1
PCMCI_Cor,VAR,False,500,2,6,0
PCMCI_Cor,VAR,False,500,2,7,0
PCMCI_Cor,VAR,False,500,2,8,0
PCMCI_Cor,VAR,False,500,2,9,0
PCMCI_Cor,VAR,False,500,2,10,0
PCMCI_Cor,VAR,False,500,2,11,0
PCMCI_Cor,VAR,False,500,2,12,0
PCMCI_Cor,VAR,False,500,2,13,0
PCMCI_Cor,VAR,False,500,2,14,0
PCMCI_Cor,VAR,False,500,2,15,1
PCMCI_Cor,VAR,False,500,2,16,0
PCMCI_Cor,VAR,False,500,2,17,0
PCMCI_Cor,VAR,False,500,2,18,1
PCMCI_Cor,VAR,False,500,2,19,0
PCMCI_Cor,VAR,False,500,2,20,0
PCMCI_Cor,VAR,False,500,2,21,0
PCMCI_Cor,VAR,False,500,2,22,0
PCMCI_Cor,VAR,False,500,2,23,0
PCMCI_Cor,VAR,False,500,2,24,0
PCMCI_Cor,VAR,False,500,2,25,0
PCMCI_Cor,VAR,False,500,2,26,0
PCMCI_Cor,VAR,False,500,2,27,0
PCMCI_Cor,VAR,False,500,2,28,0
PCMCI_Cor,VAR,False,500,2,29,0
PCMCI_Cor,VAR,False,500,2,30,0
PCMCI_Cor,VAR,False,500,2,31,0
PCMCI_Cor,VAR,False,500,2,32,0
PCMCI_Cor,VAR,False,500,2,33,0
PCMCI_Cor,VAR,False,500,2,34,1
PCMCI_Cor,VAR,False,500,2,35,1
PCMCI_Cor,VAR,False,500,2,36,0
PCMCI_Cor,VAR,False,500,2,37,0
PCMCI_Cor,VAR,False,500,2,38,0
PCMCI_Cor,VAR,False,500,2,39,0
PCMCI_Cor,VAR,False,500,2,40,0
PCMCI_Cor,VAR,False,500,2,41,1
PCMCI_Cor,VAR,False,500,2,42,0
PCMCI_Cor,VAR,False,500,2,43,0
PCMCI_Cor,VAR,False,500,2,44,0
PCMCI_Cor,VAR,False,500,2,45,0
PCMCI_Cor,VAR,False,500,2,46,0
PCMCI_Cor,VAR,False,500,2,47,0
PCMCI_Cor,VAR,False,500,2,48,0
PCMCI_Cor,VAR,False,500,2,49,0
PCMCI_Cor,VAR,False,500,2,50,0
PCMCI_Cor,VAR,False,500,2,51,0
PCMCI_Cor,VAR,False,500,2,52,1
PCMCI_Cor,VAR,False,500,2,53,1
PCMCI_Cor,VAR,False,500,2,54,0
PCMCI_Cor,VAR,False,500,2,55,0
PCMCI_Cor,VAR,False,500,2,56,0
PCMCI_Cor,VAR,False,500,2,57,0
PCMCI_Cor,VAR,False,500,2,58,0
PCMCI_Cor,VAR,False,500,2,59,0
PCMCI_Cor,VAR,False,500,2,60,0
PCMCI_Cor,VAR,False,500,2,61,0
PCMCI_Cor,VAR,False,500,2,62,0
PCMCI_Cor,VAR,False,500,2,63,0
PCMCI_Cor,VAR,False,500,2,64,0
PCMCI_Cor,VAR,False,500,2,65,1
PCMCI_Cor,VAR,False,500,2,66,0
PCMCI_Cor,VAR,False,500,2,67,0
