method,structure,heavy_tailed,n,p,replication,distance
PCMCI_GPDC,GARCH,True,500,2,1,0
PCMCI_GPDC,GARCH,True,500,2,2,1
PCMCI_GPDC,GARCH,True,500,2,3,1
PCMCI_GPDC,GARCH,True,500,2,4,1
PCMCI_GPDC,GARCH,True,500,2,5,1
PCMCI_GPDC,GARCH,True,500,2,6,1
PCMCI_GPDC,GARCH,True,500,2,7,0
PCMCI_GPDC,GARCH,True,500,2,8,1
PCMCI_GPDC,GARCH,True,500,2,9,0
PCMCI_GPDC,GARCH,True,500,2,10,0
PCMCI_GPDC,GARCH,True,500,2,11,0
PCMCI_GPDC,GARCH,True,500,2,12,0
PCMCI_GPDC,GARCH,True,500,2,13,0
PCMCI_GPDC,GARCH,True,500,2,14,0
PCMCI_GPDC,GARCH,True,500,2,15,0
PCMCI_GPDC,GARCH,True,500,2,16,1
PCMCI_GPDC,GARCH,True,500,2,17,0
PCMCI_GPDC,GARCH,True,500,2,18,0
PCMCI_GPDC,GARCH,True,500,2,19,0
PCMCI_GPDC,GARCH,True,500,2,20,1
PCMCI_GPDC,GARCH,True,500,2,21,0
PCMCI_GPDC,GARCH,True,500,2,22,0
PCMCI_GPDC,GARCH,True,500,2,23,1
PCMCI_GPDC,GARCH,True,500,2,24,0
PCMCI_GPDC,GARCH,True,500,2,25,0
PCMCI_GPDC,GARCH,True,500,2,26,1
PCMCI_GPDC,GARCH,True,500,2,27,1
PCMCI_GPDC,GARCH,True,500,2,28,0
PCMCI_GPDC,GARCH,True,500,2,29,0
PCMCI_GPDC,GARCH,True,500,2,30,0
PCMCI_GPDC,GARCH,True,500,2,31,2
PCMCI_GPDC,GARCH,True,500,2,32,1
PCMCI_GPDC,GARCH,True,500,2,33,0
PCMCI_GPDC,GARCH,True,500,2,34,0
PCMCI_GPDC,GARCH,True,500,2,35,0
PCMCI_GPDC,GARCH,True,500,2,36,1
PCMCI_GPDC,GARCH,True,500,2,37,0
PCMCI_GPDC,GARCH,True,500,2,38,0
PCMCI_GPDC,GARCH,True,500,2,39,0
PCMCI_GPDC,GARCH,True,500,2,40,1
PCMCI_GPDC,GARCH,True,500,2,41,0
PCMCI_GPDC,GARCH,True,500,2,42,1
PCMCI_GPDC,GARCH,True,500,2,43,1
PCMCI_GPDC,GARCH,True,500,2,44,1
PCMCI_GPDC,GARCH,True,500,2,45,2
PCMCI_GPDC,GARCH,True,500,2,46,0
