method,structure,heavy_tailed,n,p,replication,distance
PCMCI_GPDC,GARCH,False,500,2,1,1
PCMCI_GPDC,GARCH,False,500,2,2,1
PCMCI_GPDC,GARCH,False,500,2,3,0
PCMCI_GPDC,GARCH,False,500,2,4,0
PCMCI_GPDC,GARCH,False,500,2,5,1
PCMCI_GPDC,GARCH,False,500,2,6,1
PCMCI_GPDC,GARCH,False,500,2,7,0
PCMCI_GPDC,GARCH,False,500,2,8,0
PCMCI_GPDC,GARCH,False,500,2,9,0
PCMCI_GPDC,GARCH,False,500,2,10,0
PCMCI_GPDC,GARCH,False,500,2,11,1
PCMCI_GPDC,GARCH,False,500,2,12,1
PCMCI_GPDC,GARCH,False,500,2,13,1
PCMCI_GPDC,GARCH,False,500,2,14,2
PCMCI_GPDC,GARCH,False,500,2,15,1
PCMCI_GPDC,GARCH,False,500,2,16,2
PCMCI_GPDC,GARCH,False,500,2,17,2
PCMCI_GPDC,GARCH,False,500,2,18,1
PCMCI_GPDC,GARCH,False,500,2,19,2
PCMCI_GPDC,GARCH,False,500,2,20,1
PCMCI_GPDC,GARCH,False,500,2,21,2
PCMCI_GPDC,GARCH,False,500,2,22,1
PCMCI_GPDC,GARCH,False,500,2,23,1
PCMCI_GPDC,GARCH,False,500,2,24,0
PCMCI_GPDC,GARCH,False,500,2,25,1
PCMCI_GPDC,GARCH,False,500,2,26,1
PCMCI_GPDC,GARCH,False,500,2,27,1
PCMCI_GPDC,GARCH,False,500,2,28,1
PCMCI_GPDC,GARCH,False,500,2,29,2
PCMCI_GPDC,GARCH,False,500,2,30,0
PCMCI_GPDC,GARCH,False,500,2,31,0
PCMCI_GPDC,GARCH,False,500,2,32,0
PCMCI_GPDC,GARCH,False,500,2,33,0
PCMCI_GPDC,GARCH,False,500,2,34,0
PCMCI_GPDC,GARCH,False,500,2,35,2
PCMCI_GPDC,GARCH,False,500,2,36,1
PCMCI_GPDC,GARCH,False,500,2,37,0
PCMCI_GPDC,GARCH,False,500,2,38,1
PCMCI_GPDC,GARCH,False,500,2,39,0
PCMCI_GPDC,GARCH,False,500,2,40,0
PCMCI_GPDC,GARCH,False,500,2,41,0
PCMCI_GPDC,GARCH,False,500,2,42,1
PCMCI_GPDC,GARCH,False,500,2,43,1
PCMCI_GPDC,GARCH,False,500,2,44,1
PCMCI_GPDC,GARCH,False,500,2,45,0
PCMCI_GPDC,GARCH,False,500,2,46,1
PCMCI_GPDC,GARCH,False,500,2,47,0
PCMCI_GPDC,GARCH,False,500,2,48,0
PCMCI_GPDC,GARCH,False,500,2,49,1
PCMCI_GPDC,GARCH,False,500,2,50,2
PCMCI_GPDC,GARCH,False,500,2,51,0
PCMCI_GPDC,GARCH,False,500,2,52,2
PCMCI_GPDC,GARCH,False,500,2,53,0
PCMCI_GPDC,GARCH,False,500,2,54,0
PCMCI_GPDC,GARCH,False,500,2,55,1
PCMCI_GPDC,GARCH,False,500,2,56,1
PCMCI_GPDC,GARCH,False,500,2,57,0
PCMCI_GPDC,GARCH,False,500,2,58,0
PCMCI_GPDC,GARCH,False,500,2,59,1
PCMCI_GPDC,GARCH,False,500,2,60,1
PCMCI_GPDC,GARCH,False,500,2,61,1
PCMCI_GPDC,GARCH,False,500,2,62,1
PCMCI_GPDC,GARCH,False,500,2,63,0
PCMCI_GPDC,GARCH,False,500,2,64,0
PCMCI_GPDC,GARCH,False,500,2,65,1
PCMCI_GPDC,GARCH,False,500,2,66,1
PCMCI_GPDC,GARCH,False,500,2,67,0
PCMCI_GPDC,GARCH,False,500,2,68,1
PCMCI_GPDC,GARCH,False,500,2,69,0
PCMCI_GPDC,GARCH,False,500,2,70,1
PCMCI_GPDC,GARCH,False,500,2,71,1
PCMCI_GPDC,GARCH,False,500,2,72,2
PCMCI_GPDC,GARCH,False,500,2,73,1
PCMCI_GPDC,GARCH,False,500,2,74,2
PCMCI_GPDC,GARCH,False,500,2,75,0
PCMCI_GPDC,GARCH,False,500,2,76,0
PCMCI_GPDC,GARCH,False,500,2,77,1
PCMCI_GPDC,GARCH,False,500,2,78,1
PCMCI_GPDC,GARCH,False,500,2,79,0
PCMCI_GPDC,GARCH,False,500,2,80,1
PCMCI_GPDC,GARCH,False,500,2,81,0
PCMCI_GPDC,GARCH,False,500,2,82,2
PCMCI_GPDC,GARCH,False,500,2,83,0
PCMCI_GPDC,GARCH,False,500,2,84,0
PCMCI_GPDC,GARCH,False,500,2,85,0
PCMCI_GPDC,GARCH,False,500,2,86,0
PCMCI_GPDC,GARCH,False,500,2,87,0
PCMCI_GPDC,GARCH,False,500,2,88,1
PCMCI_GPDC,GARCH,False,500,2,89,1
PCMCI_GPDC,GARCH,False,500,2,90,1
PCMCI_GPDC,GARCH,False,500,2,91,1
PCMCI_GPDC,GARCH,False,500,2,92,0
PCMCI_GPDC,GARCH,False,500,2,93,0
PCMCI_GPDC,GARCH,False,500,2,94,0
PCMCI_GPDC,GARCH,False,500,2,95,0
PCMCI_GPDC,GARCH,False,500,2,96,0
PCMCI_GPDC,GARCH,False,500,2,97,1
PCMCI_GPDC,GARCH,False,500,2,98,1
PCMCI_GPDC,GARCH,False,500,2,99,0
PCMCI_GPDC,GARCH,False,500,2,100,0
PCMCI_GPDC,GARCH,False,500,4,1,5
PCMCI_GPDC,GARCH,False,500,4,2,7
PCMCI_GPDC,GARCH,False,500,4,3,2
PCMCI_GPDC,GARCH,False,500,4,4,5
PCMCI_GPDC,GARCH,False,500,4,5,2
PCMCI_GPDC,GARCH,False,500,4,6,2
PCMCI_GPDC,GARCH,False,500,4,7,8
PCMCI_GPDC,GARCH,False,500,4,8,4
PCMCI_GPDC,GARCH,False,500,4,9,4
PCMCI_GPDC,GARCH,False,500,4,10,2
PCMCI_GPDC,GARCH,False,500,4,11,4
PCMCI_GPDC,GARCH,False,500,4,12,4
PCMCI_GPDC,GARCH,False,500,4,13,2
PCMCI_GPDC,GARCH,False,500,4,14,4
PCMCI_GPDC,GARCH,False,500,4,15,4
PCMCI_GPDC,GARCH,False,500,4,16,4
PCMCI_GPDC,GARCH,False,500,4,17,3
PCMCI_GPDC,GARCH,False,500,4,18,4
PCMCI_GPDC,GARCH,False,500,4,19,5
PCMCI_GPDC,GARCH,False,500,4,20,7
PCMCI_GPDC,GARCH,False,500,4,21,4
PCMCI_GPDC,GARCH,False,500,4,22,2
PCMCI_GPDC,GARCH,False,500,4,23,7
PCMCI_GPDC,GARCH,False,500,4,24,3
PCMCI_GPDC,GARCH,False,500,4,25,3
PCMCI_GPDC,GARCH,False,500,4,26,3
PCMCI_GPDC,GARCH,False,500,4,27,5
PCMCI_GPDC,GARCH,False,500,4,28,3
PCMCI_GPDC,GARCH,False,500,4,29,5
PCMCI_GPDC,GARCH,False,500,4,30,3
PCMCI_GPDC,GARCH,False,500,4,31,3
PCMCI_GPDC,GARCH,False,500,4,32,2
PCMCI_GPDC,GARCH,False,500,4,33,3
PCMCI_GPDC,GARCH,False,500,4,34,5
PCMCI_GPDC,GARCH,False,500,4,35,2
PCMCI_GPDC,GARCH,False,500,4,36,6
PCMCI_GPDC,GARCH,False,500,4,37,4
PCMCI_GPDC,GARCH,False,500,4,38,3
PCMCI_GPDC,GARCH,False,500,4,39,3
PCMCI_GPDC,GARCH,False,500,4,40,1
PCMCI_GPDC,GARCH,False,500,4,41,3
PCMCI_GPDC,GARCH,False,500,4,42,2
PCMCI_GPDC,GARCH,False,500,4,43,5
PCMCI_GPDC,GARCH,False,500,4,44,0
PCMCI_GPDC,GARCH,False,500,4,45,4
PCMCI_GPDC,GARCH,False,500,4,46,2
PCMCI_GPDC,GARCH,False,500,4,47,5
PCMCI_GPDC,GARCH,False,500,4,48,4
PCMCI_GPDC,GARCH,False,500,4,49,5
PCMCI_GPDC,GARCH,False,500,4,50,1
PCMCI_GPDC,GARCH,False,500,4,51,4
PCMCI_GPDC,GARCH,False,500,4,52,4
PCMCI_GPDC,GARCH,False,500,4,53,2
PCMCI_GPDC,GARCH,False,500,4,54,3
PCMCI_GPDC,GARCH,False,500,4,55,3
PCMCI_GPDC,GARCH,False,500,4,56,4
PCMCI_GPDC,GARCH,False,500,4,57,8
PCMCI_GPDC,GARCH,False,500,4,58,4
PCMCI_GPDC,GARCH,False,500,4,59,3
PCMCI_GPDC,GARCH,False,500,4,60,2
PCMCI_GPDC,GARCH,False,500,4,61,5
PCMCI_GPDC,GARCH,False,500,4,62,4
PCMCI_GPDC,GARCH,False,500,4,63,3
PCMCI_GPDC,GARCH,False,500,4,64,4
PCMCI_GPDC,GARCH,False,500,4,65,4
PCMCI_GPDC,GARCH,False,500,4,66,3
PCMCI_GPDC,GARCH,False,500,4,67,1
PCMCI_GPDC,GARCH,False,500,4,68,3
PCMCI_GPDC,GARCH,False,500,4,69,2
PCMCI_GPDC,GARCH,False,500,4,70,3
PCMCI_GPDC,GARCH,False,500,4,71,4
PCMCI_GPDC,GARCH,False,500,4,72,4
PCMCI_GPDC,GARCH,False,500,4,73,4
PCMCI_GPDC,GARCH,False,500,4,74,2
PCMCI_GPDC,GARCH,False,500,4,75,6
PCMCI_GPDC,GARCH,False,500,4,76,3
PCMCI_GPDC,GARCH,False,500,4,77,4
PCMCI_GPDC,GARCH,False,500,4,78,2
PCMCI_GPDC,GARCH,False,500,4,79,5
PCMCI_GPDC,GARCH,False,500,4,80,2
PCMCI_GPDC,GARCH,False,500,4,81,4
PCMCI_GPDC,GARCH,False,500,4,82,1
PCMCI_GPDC,GARCH,False,500,4,83,1
PCMCI_GPDC,GARCH,False,500,4,84,5
PCMCI_GPDC,GARCH,False,500,4,85,2
PCMCI_GPDC,GARCH,False,500,4,86,4
PCMCI_GPDC,GARCH,False,500,4,87,4
PCMCI_GPDC,GARCH,False,500,4,88,2
PCMCI_GPDC,GARCH,False,500,4,89,5
PCMCI_GPDC,GARCH,False,500,4,90,3
PCMCI_GPDC,GARCH,False,500,4,91,3
PCMCI_GPDC,GARCH,False,500,4,92,3
PCMCI_GPDC,GARCH,False,500,4,93,4
PCMCI_GPDC,GARCH,False,500,4,94,4
PCMCI_GPDC,GARCH,False,500,4,95,3
PCMCI_GPDC,GARCH,False,500,4,96,3
PCMCI_GPDC,GARCH,False,500,4,97,4
PCMCI_GPDC,GARCH,False,500,4,98,3
PCMCI_GPDC,GARCH,False,500,4,99,5
PCMCI_GPDC,GARCH,False,500,4,100,5
PCMCI_GPDC,GARCH,False,500,7,1,8
PCMCI_GPDC,GARCH,False,500,7,2,7
PCMCI_GPDC,GARCH,False,500,7,3,8
PCMCI_GPDC,GARCH,False,500,7,4,8
PCMCI_GPDC,GARCH,False,500,7,5,7
PCMCI_GPDC,GARCH,False,500,7,6,7
PCMCI_GPDC,GARCH,False,500,7,7,7
PCMCI_GPDC,GARCH,False,500,7,8,15
PCMCI_GPDC,GARCH,False,500,7,9,19
PCMCI_GPDC,GARCH,False,500,7,10,19
PCMCI_GPDC,GARCH,False,500,7,11,19
PCMCI_GPDC,GARCH,False,500,7,12,12
PCMCI_GPDC,GARCH,False,500,7,13,13
PCMCI_GPDC,GARCH,False,500,7,14,16
PCMCI_GPDC,GARCH,False,500,7,15,9
PCMCI_GPDC,GARCH,False,500,7,16,11
PCMCI_GPDC,GARCH,False,500,7,17,17
PCMCI_GPDC,GARCH,False,500,7,18,14
PCMCI_GPDC,GARCH,False,500,7,19,13
PCMCI_GPDC,GARCH,False,500,7,20,10
PCMCI_GPDC,GARCH,False,500,7,21,16
PCMCI_GPDC,GARCH,False,500,7,22,11
PCMCI_GPDC,GARCH,False,500,7,23,15
PCMCI_GPDC,GARCH,False,500,7,24,13
PCMCI_GPDC,GARCH,False,500,7,25,11
PCMCI_GPDC,GARCH,False,500,7,26,9
PCMCI_GPDC,GARCH,False,500,7,27,8
PCMCI_GPDC,GARCH,False,500,7,28,12
PCMCI_GPDC,GARCH,False,500,7,29,10
PCMCI_GPDC,GARCH,False,500,7,30,13
PCMCI_GPDC,GARCH,False,500,7,31,12
PCMCI_GPDC,GARCH,False,500,7,32,12
PCMCI_GPDC,GARCH,False,500,7,33,10
PCMCI_GPDC,GARCH,False,500,7,34,10
PCMCI_GPDC,GARCH,False,500,7,35,8
PCMCI_GPDC,GARCH,False,500,7,36,10
PCMCI_GPDC,GARCH,False,500,7,37,13
PCMCI_GPDC,GARCH,False,500,7,38,13
PCMCI_GPDC,GARCH,False,500,7,39,8
PCMCI_GPDC,GARCH,False,500,7,40,9
